gene,PT_seg01,PT_seg02,PT_seg03,PT_seg04,PT_seg05,PT_seg06,PT_seg07,PT_seg08,PT_seg09,PT_seg10,PT_seg11,PT_seg12,PT_seg13,PT_seg14,PT_seg15,PT_seg16
AGRN,0.05891480031057843,0.0706291635087078,0.07236183792098816,0.07433767362659902,0.07347320041802932,0.06498353963226257,0.0668071965409886,0.07240669997139951,0.07812612997272819,0.07868626401501563,0.09575359506363218,0.1334233535991639,0.15125878550495625,0.16614896608878874,0.17911717290410534,0.2024831917258649
C1orf159,0.27480219158732094,0.26523805524459704,0.25509185114302885,0.2021178440466406,0.12878252955302188,0.16052665399398341,0.1821937051698501,0.18310862403379016,0.21820716505472207,0.23986802476218633,0.24565592603562594,0.26956418526558446,0.3242393915853892,0.3462457996825059,0.3550541658090812,0.3355596852360987
RP11-465B22.9,0.01670001124892153,0.019781634821534465,0.01850846008654645,0.014394493115087031,0.009783530321706967,0.010855697539355735,0.01417302591498206,0.014242950426191366,0.01514025805050508,0.01696472298216644,0.011626958039465484,0.026083384049519903,0.023336183135615054,0.029385687676801834,0.03746115470176909,0.022527150176708994
TTLL10,0.001532958092046693,0.0010488702433962974,0.0012034045203804602,0.001978786915469863,0.0013356241868122895,0.0019334501002614879,0.003554010259503167,0.004929884722354446,0.007091213877282636,0.004720311407781648,0.009329141072043173,0.0190294109275721,0.023352782945971495,0.03352435837655373,0.04090311896399558,0.0526559804681859
SDF4,0.09633682587973556,0.10085787227979359,0.09930917004500564,0.0949745355049648,0.0985423446194481,0.09312031249505129,0.08767018715623943,0.10080624551734971,0.12197490005639329,0.1264563984249846,0.151286544330366,0.17731864666753203,0.24227178122924056,0.2504915959996681,0.2391423489303924,0.23948757703008217
B3GALT6,0.022238628940502315,0.026436076016711288,0.026275732611258276,0.02632964933181537,0.025503768679937627,0.022968615567603178,0.024922452821383393,0.031866489490923446,0.03237942156925142,0.03211678755050361,0.03864202383983802,0.0443454250748262,0.04844415860676318,0.06338657031274769,0.054343686908439874,0.06559279366256365
C1QTNF12,0.0033790160643543715,0.003505692828666557,0.00280866945371139,0.004880271265832065,0.004808848491058877,0.003968709557092697,0.005609741676502385,0.005988276890434952,0.0050684744810750885,0.007804271178687088,0.003299659209234731,0.006878897773589525,0.006464900892476043,0.01077195790594175,0.010499240311836255,0.014851614053732429
UBE2J2,0.10478099995947565,0.11950851196744307,0.10876321334559796,0.09577583225243154,0.09979616182528729,0.10259268384517103,0.1047161813481969,0.11964510925888062,0.13309798642350854,0.15020688072453323,0.17864706371161904,0.20139016640181426,0.2033337524415584,0.22961816911157262,0.22858321438945753,0.21793222535474627
LINC01786,0.018165944070190086,0.019417199268952638,0.015091323912940303,0.014705623397262522,0.013602701363569244,0.011788454458478568,0.013079500860360173,0.01750747322138644,0.02087620744595047,0.019230677049460222,0.019009261385544197,0.01685918024552254,0.014453915209707437,0.019312460648931683,0.020399839296871537,0.02383617911658256
SCNN1D,0.03558378769032346,0.029032612217622874,0.026244866437000892,0.02679466212937845,0.024507570896769193,0.02458052928431524,0.02582966085580166,0.02784479815918167,0.032962154613924474,0.02857407761361117,0.02099281208185883,0.019717125412090447,0.034816070172622185,0.033243025621096656,0.04086497437377974,0.041352383110647886
