"","Differentiated-2","Differentiated_1","Intermediate-3","Intermediate-2","Intermediate-1","Neuroendocrine"
"TFGroup_12",0,0,0,0,0,0
"TFGroup_13",0,0,0,0,0,0
"TFGroup_14",0.20612988911562,0.171148785207807,0,0,0,0
"TFGroup_15",0,0,0,0.0663534093686851,0,-0.0557916352818769
"TFGroup_16",0,0,0,0,0.0818763280991334,0
"TFGroup_17",0,0,0,0,0,0
"TFGroup_18",0,0.118245175153523,0,0.103620245556396,0,0
"TFGroup_19",0,0,0,0,0,0
"TFGroup_20",0.0596870343832754,0.14329111603886,0,0,0.0983201067429425,-0.11904048174569
"TFGroup_21",0,0,0,0,0,0
"TFGroup_22",0,0,0,0,0,0
"TFGroup_23",0,0,0,0,0,0
"TFGroup_24",0,0,0,0,0,0
"TFGroup_25",0,0,0,0,0,0
"TFGroup_26",0,0,0,0,-0.0473093921715284,0
"TFGroup_27",0,0,0,0,0,0
"TFGroup_28",0,0,0,0,0,0
"TFGroup_29",0,0,0,0,0,0
"TFGroup_30",0,0,0,0,0,0
"TFGroup_31",0,0,0,0,0,0
"TFGroup_32",0,0,0,0,0,0
"TFGroup_33",0,0,0,0,0,0
"TFGroup_34",0,0,0,0,0,0
"TFGroup_35",0.104088877809347,0.0831632546485612,0,0,0,0
"TFGroup_36",0,0,0,0,0,0
"TFGroup_37",0,0,0,0,0,0
"TFGroup_38",0,0,0,0,0,0
"TFGroup_39",0.0761451948626816,0,0,0,0,0
"TFGroup_40",0,0,0,0,0,0
"TFGroup_41",0,0,0,0,0,0
