"","PT_seg01","PT_seg02","PT_seg03","PT_seg04","PT_seg05","PT_seg06","PT_seg07","PT_seg08","PT_seg09","PT_seg10","PT_seg11","PT_seg12","PT_seg13","PT_seg14","PT_seg15","PT_seg16"
"FOXK1",0,-0.0153009187653719,0.0100215119341447,-0.0180483475914261,-0.0130066416364732,-0.0299045764900854,-0.015680755004277,-0.0170310545321084,0.010711463061452,0.0107480268403017,0.00979340491665791,0.0144637270942729,0.0210914766201532,0.023058333228851,0.0186044708872526,0.000899255910405169
"FOXO1",0,0.0299684351074771,-0.00233162334772191,-0.0101439675276676,-0.00870739081061434,-0.0150591056432496,0.0083625673866607,-0.0167713036244271,-0.0276902818588946,-0.00358810264943193,0.0164763583413759,0.0228009449734182,0.0071423565288958,-0.00879966406655675,-0.00463961164176499,-0.00633277874075979
"FOXO4",0,-0.00853086802728635,-0.00234193140027873,0.0278150554503447,-0.00337122056735219,0.0468462411855494,0.04689067656196,-0.00874537906764727,0.0289458907708661,0.00363147476053859,0.0146050709031221,0.0118567958339805,-0.0177096347117394,-0.0132997878780657,-0.00763384471544889,0.00962855774426911
"FOXP1",0,-0.0151212410003683,0.00965991024926827,0.00217672085920978,-0.00541536363631735,0.00540688954840772,0.0163481095167703,0.0268610884564727,0.0029017695249624,0.0217180340201137,0.0236039572713071,-0.0134207691705366,-0.00504783962401188,0.00135094635105678,-0.0122915591633049,0.0201052266175582
"FOXQ1",0,-0.00460445677275404,-0.0169895856294542,0.00862078472255536,0.016982895788026,-0.00076278439194614,0.0188630911308593,0.0455284138097463,-0.0205047948842623,-0.0107444703794788,0.00982722492054164,0.0257414523257546,0.00400745634280519,3.25431841167127e-05,0.0311780489863695,0.00638658555057051
"GATA3",0,0.00393934747389052,0.0399683163262802,-0.0264199904782569,-0.0155238849261218,0.0108183337175877,-0.021011636010955,0.00300747425185026,0.0108306845722548,-0.00558818063560931,-0.0150442650922007,-0.0107120300362588,0.0286503570280625,-0.0039779420777486,0.0113202820024996,-0.00472574357749435
"NR3C1",0,-0.0282292662353678,0.0190371697545774,0.0247990097711582,0.00338599631167276,0.0326415128270433,0.00808012195440112,-0.00265231582208989,0.0021702300033209,0.00495319171172224,0.00694879808207902,-0.0176290552378503,-0.0110325725223068,0.00329732176869671,0.0334741976354038,0.0361450238970443
"GFI1B",0,0.00248250446027867,-0.0218713716585844,0.000348985228682659,-0.0133084191652739,-0.0327755036905466,-0.0320283699194413,-0.00207778308635427,0.000415347404991076,-0.00677097525401956,-0.0371729897995032,-0.0311577021537062,-0.0550004192515373,-0.0415351268318602,-0.0235298406416119,-0.0180526086560947
"GFI1",0,0.00726491446125082,-0.000638101713689717,-0.00523767189370071,0.015010450207883,0.00704792518558166,-0.0146322195310618,-0.0173613693400212,-0.0170659041463596,0.0123154961369462,0.0146349258986821,-0.029552758109804,0.0130832425696003,-0.00865172335310285,-0.0404462642442784,-0.0477552966185376
"GLI3",0,0.0177384260729071,-0.00117871105436332,-0.00409009320261761,0.0327943346979091,-0.0112723391309208,-0.0138008296011585,0.0069065233382056,-0.0208253963030214,0.00737904278554282,-0.0225424768083082,-0.0183105875690817,0.012268372856162,-0.0081663993866028,-0.0224610517001062,0.00114251323352996
"GRHL2",0,0.0258244617341145,-0.0547024631235516,-0.0225946375182511,0.00124600741205646,0.0189237295144904,0.000139810052183655,0.0223415719821858,0.106002215921901,0.198910060902463,0.257649187324856,0.367963089776658,0.342310585682893,0.332560358650956,0.310753608224342,0.327511715437105
"HEN1",0,0.0154228705562429,0.0128750121866368,0.00562857878448292,0.0154780641213964,-0.010250457391674,0.0133028761315286,0.018096835799474,0.0112458726911882,0.0129383534506915,0.0180925348879365,-0.0115256967315078,0.0201921295321606,-0.00173958999750587,-0.00393765421652658,0.011784837742637
"HIC1",0,-0.00174858236657056,-0.00123094402861682,-0.0249382654508082,0.0261055182649073,0.0429677772931495,0.0402493795963964,0.0343746130551871,0.0464156126083395,0.00692181148559203,0.0376407530714198,0.0563991252779112,0.0707596578663371,0.0362149943539704,0.0506667813038851,0.0623628645833433
"HIF1A",0,-0.054361305405417,-0.0145718884161268,-0.00922748515401754,0.00107070177877127,-0.0817984191622717,-0.00153382167557387,-0.0311377609510704,0.0269450984796933,0.00645437407995852,-0.00689816625146342,-0.00692743005640596,0.0849801003144769,0.0117518820321914,-0.0579877810677692,-0.0169834908399133
"HINFP",0,0.00505096946811708,0.00999585539794512,0.00348971554953206,0.085679178243411,0.0164446086338039,-0.000234379005672778,-0.0312334020327999,-0.0162846818782014,-0.0487008720560203,-0.0434732529607019,0.0455612057046354,-0.00941399532563903,-0.0502690966466496,-0.00438540922143348,0.0304409611865149
"HLF",0,0.0320058914612453,-0.00855861174695728,-0.0150938676053134,-0.0696698007377831,-0.0403363812297601,0.000589165210094439,-0.00342329211700956,0.0711693706831394,-0.00760243799836169,-0.0133231925456749,-0.0501099703034535,-0.0488250182231043,-0.0228416499493489,-0.0211981395054412,0.0115975612845935
"HNF6",0,0.0168494081339576,-0.023761270446588,-0.0129816069459349,-0.0245193212253622,0.0138621357396901,0.00116505069973332,0.0730575727923479,-0.00122124959940486,-0.0223973121188313,0.0223951805979182,0.0631586931015819,0.101600199249484,0.0734743241127824,0.0726670824028667,0.0787530130629944
"HSF1",0,-0.0447107005099783,0.0372667727605899,0.00569815972034923,-0.000849299784723625,0.0191885205392244,0.00408713785237422,-0.0213069695591004,-0.0523612544260518,-0.02885301465269,-0.0290814730059836,-0.0299996833328869,-0.0439273845569991,-0.00707085116624918,-0.0280900178181049,-0.0476050159003231
"HSF2",0,0.0382501988330658,-0.0374833344698609,0.0127038261046022,0.00533765309971111,-0.0462091211829048,-0.0626720546202008,-0.01371170140162,0.0136293248562271,0.00730850239600454,-0.00661136257972854,-0.0319165360035033,-0.000239563663954468,-0.0546976656477478,0.00169584554847894,0.0152076810954536
"HTF4",0,0.0282841854035235,-0.00549954312090755,0.0309325062675007,0.00841619640581098,-0.0183289681621186,0.00740681735061354,-0.000744671217521126,-0.00697376025774242,-0.00389367966363368,-0.017223315489252,-0.0115161163596046,-0.0229338407695487,-0.00338468726183614,0.00255814388200716,-0.00627238316542481
"HXA10",0,-0.0176155984562952,-0.0252918484325888,-0.0570429373629722,-0.0334285194851459,-0.0225955553288191,-0.013632887814221,0.0121861842878429,-0.0470541731490097,0.0121307287052415,0.0138159853831557,0.00391767910537369,0.0497985437710517,0.0115501687493431,0.0287136868571471,0.0205605475658424
"HXA13",0,-0.00421076203051494,-0.000189659393749275,0.0233076496144362,-0.0290692144999531,0.0168465324873837,0.00152581825186422,0.0106647897207282,0.0139482589387161,0.0545462792212915,0.0424227742534992,0.036992355214773,0.0418922780539662,0.052487543596009,0.0483185596316154,0.0525169192039266
"HXA1",0,0.0151228507409956,-0.000788585898833198,-0.0410098751539087,-0.0248146909693587,-0.0103721250104872,-0.00122620609406589,-0.00920641134168787,0.0259227707707489,0.00672936438199011,0.00931525006596072,0.00540397493223048,0.0284521670582751,0.0175248184071192,-0.0292737335121336,-0.0173707022176825
"HXA9",0,-0.00529168105876458,0.00735291520896946,0.0286486137192231,0.0199638400955778,0.0258664677475136,0.0102954694760417,0.0193017037562884,0.0322249889942898,0.0368615748897217,-0.0110166266643365,0.0825522600541634,0.0671363752723656,0.0346166996364221,0.0429922497969027,0.0401089220767824
"HXB13",0,-0.0214721091566202,-0.0143118107808898,-0.0111781707253641,-0.0280010771058384,-0.00601002037736407,0.0636523102262872,0.0322086855900697,0.0382612000172266,0.014379504447472,-0.00465296618805605,0.0188591970497096,0.00702190285003994,0.0271983848495682,0.0449463880828419,0.0308397969545294
"HXB4",0,-0.0237426647836319,-0.0443181845160464,-0.0534774527982082,-0.00782537390582612,-0.0150337606799847,0.00386304526090453,-0.0296754456863002,0.0175229499675037,-0.023198554763233,-0.00277088423113278,-0.0283297431446356,-0.0491312930405956,-0.0171008586779841,-0.00406572004343589,-0.0147035545496159
"HXC9",0,0.000503513573712355,0.0081928113496171,-0.0192369843948809,0.0020942982581743,0.0164134494771987,0.0589232480393386,0.0675272683349129,0.0281804533533057,0.0367491955306108,0.0541883794492897,0.0876246628253597,0.0653139458913903,0.0486076683353845,0.0564167804836594,0.0649392324996323
