"","PT_seg01","PT_seg02","PT_seg03","PT_seg04","PT_seg05","PT_seg06","PT_seg07","PT_seg08","PT_seg09","PT_seg10","PT_seg11","PT_seg12","PT_seg13","PT_seg14","PT_seg15","PT_seg16"
"PO3F2",0,0,0,0,0,0,0,0,0.0489027406370594,0,0.0554163539576122,0,0,0,0,0
"PRD14",0,0,0,0,0,0,0,0,0,0.0658705806932401,0,0,0,0,0,0
"PRDM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRDM6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PGR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRRX2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PTF1A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RARA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RARG",0,0,0,0,0,0,0,0,0,0,0,0.0870891588876478,0.0750790349465859,0.0750426318712045,0.068196864490488,0.0555639657487991
"RELB",0,0,0,0,0,0,0,0,0,-0.0565003196418725,0,0,0,0,-0.0750537561607862,-0.0695880840455256
"REL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"REST",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0477535991393886,0,0
"RFX1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RFX2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RFX3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RFX5",0,0,0,0,0,0.0909431747195333,0.145077365744162,0.115678157419862,0.0910326248875643,0.0636905904396552,0.0842005243689583,0.118369426762584,0.112158158179833,0.112932095643227,0.106627399655678,0.0877598968815528
"RORA",0,0,0,0,0,0,0,0,0,0,0,0.061354883582191,0.0504417031047524,0,0,0
"RORG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUNX2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RXRA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RXRB",0,0,0,0,0,0,0,0,0,0,0,0.0566579205041469,0.0859204838534476,0.0666271933168091,0.0607667032540555,0
"RXRG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SALL4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
