,names,scores,logfoldchanges,pvals,pvals_adj
1640,ENSG00000226197,6.557179,1.7733014,5.483512055129158e-11,5.076351381892272e-10
1644,LAMC2,6.5465484,2.686129,5.888202079926504e-11,5.439764856640649e-10
1690,TFPI2,6.40489,2.1737876,1.5047794941605042e-10,1.3518902806576669e-09
1692,DOCK5,6.4021134,2.270501,1.5324059861016252e-10,1.375332456060493e-09
1701,RAD51,6.377985,1.5353675,1.7943301398381879e-10,1.6023930830680403e-09
1723,FA2H,6.3411813,1.5847656,2.2801008879267337e-10,2.010186242274866e-09
1732,CCND1,6.312564,2.1713674,2.744499264636387e-10,2.40660123689352e-09
1748,HOXD10,6.2682695,1.5065258,3.6508205303016863e-10,3.1703471023302305e-09
1750,FHAD1,6.2600555,2.0502295,3.848405144980422e-10,3.3386961656718446e-09
1780,ADAM2,6.2046757,2.382863,5.480978340267258e-10,4.684813358872552e-09
1790,SH3GLB2,6.18413,1.7786446,6.244575654076783e-10,5.312182636784806e-09
1798,ACSS1,6.1677494,3.154424,6.926882061965496e-10,5.867572760799007e-09
1800,ENSG00000251574,6.1640515,2.1266162,7.090682587291123e-10,6.0006573725750016e-09
1807,PKHD1,6.1453414,2.0099406,7.979180238335147e-10,6.727183865412165e-09
1811,EVC2,6.1389623,4.102895,8.3062410665828e-10,6.986510594259822e-09
1812,LAMB3,6.138808,2.183062,8.314308648166296e-10,6.990019281009912e-09
1840,ZFYVE19,6.081534,1.9907151,1.1903832927059642e-09,9.859956904172532e-09
1879,CCDC107,5.97397,1.572732,2.315486904992902e-09,1.880586263579794e-08
1895,B3GNT5,5.949371,1.6776885,2.6917546617110306e-09,2.1694865402406828e-08
1900,ARMC3,5.938135,1.600718,2.882827431061927e-09,2.317240454331632e-08
1905,PPFIBP2,5.9342275,1.6114086,2.952321517563577e-09,2.367796171059818e-08
1909,NIBAN2,5.9294066,1.8990504,3.040314179140065e-09,2.4329293794804594e-08
1991,F2RL1,5.8014436,1.5049788,6.574642414425255e-09,5.051634242278523e-08
1994,KRT19,5.798604,2.7216349,6.686923300523768e-09,5.129118894172592e-08
2001,LIPH,5.7871747,1.892313,7.1580217830673455e-09,5.471754103536908e-08
2015,H2BC11,5.7623262,1.747254,8.296246673310832e-09,6.298898077269133e-08
2028,ARPC5L,5.740412,1.5263381,9.444628082067674e-09,7.122575553609758e-08
2088,PHLDA2,5.643732,1.8781825,1.664028460391169e-08,1.2215357859197203e-07
2149,CBR3,5.548108,1.7821059,2.887775523663596e-08,2.0575687319320324e-07
2176,ACP3,5.498712,1.6565267,3.825755509080697e-08,2.6927375279881044e-07
2199,CDKN1A,5.4658313,1.7308853,4.607422956325762e-08,3.2114131802424435e-07
2233,MICB,5.4045115,1.5179334,6.498527827560639e-08,4.45851196001015e-07
2237,GATA4,5.4017706,2.1981552,6.598625655252683e-08,4.5185474382018466e-07
2274,ATP2C2,5.3446035,2.7244148,9.06152284989465e-08,6.107166846354617e-07
2280,USP43,5.3352027,1.8242486,9.543785671153394e-08,6.415326291725854e-07
2357,AP1M2,5.2066226,2.560622,1.9230847252719373e-07,1.2524768878197917e-06
2372,GCHFR,5.178017,1.6958629,2.2425635642553116e-07,1.4516215510445678e-06
2428,ENSG00000257989,5.0941906,3.9236147,3.502345786707103e-07,2.2172048609496167e-06
2465,COL8A1,5.041433,2.2408326,4.6205914638801946e-07,2.882407213264067e-06
2577,SHISA2,4.859862,1.6576911,1.1746770926333442e-06,7.0086071562802885e-06
2581,ENSG00000259639,4.8567495,3.0690377,1.1932848115811386e-06,7.110170310387648e-06
2601,ZDHHC12,4.8292317,1.5733703,1.37060963084554e-06,8.112869477730069e-06
2674,IL20RA,4.7433443,1.7761047,2.1021870094971276e-06,1.2133625268876283e-05
2746,SMIM31,4.659066,1.5070995,3.17646806910724e-06,1.7870496590734713e-05
2782,ENSG00000224326,4.620135,2.5245085,3.834907224163669e-06,2.1320753179027077e-05
2783,PLAG1,4.618581,1.5535308,3.863739185477689e-06,2.147439427715465e-05
2800,CXCL8,4.600958,2.5020237,4.2055264606569686e-06,2.3222945592689035e-05
2976,MICA,4.376204,2.0441535,1.2076407387996797e-05,6.276443364659633e-05
2992,ENSG00000233358,4.359004,1.5233397,1.3065558575018714e-05,6.75725530107843e-05
3061,LNX1-AS1,4.2767196,1.6028516,1.8966737262573292e-05,9.598934646765232e-05
