,1,2,3,4,5,6,7,8,9,10,11,12,13,14
84,L3MBTL4,ZGRF1,KIF15,NR6A1,ID2,ESRRG,AC010198.2,TRIB3,LIMA1,APP,LIMCH1,KCNAB1,TTC29,NAP1L2
85,COL21A1,SMC1A,PLK1,MLLT3,ERO1B,MGST1,FAT3,ATXN1,NFKBIZ,SHROOM3,SHROOM3,AL136115.2,LINC00616,DOCK10
86,CNTNAP5,HIST1H2AD,CCNG2,MEIS2,KLF4,ZFHX4,AL136441.1,JDP2,CEACAM6,AC005062.1,MYO5B,AL049629.1,MAP9,MINCR
87,MIR646HG,DNA2,AC092944.1,TLCD4,PPP1R15A,ATP5F1B,LIMS1,TMCO3,FLNA,ANK3,ENAH,LINC00310,LRAT,APOA1-AS
88,DNAH14,LINGO2,SGO1,MS4A8,DIPK2A,FRMD6,FARP1,TGM2,TRIM2,TXNRD1,GRHL2,GRK7,CEP44,PPM1K-DT
89,EHF,CEP152,CEP112,ST14,FSTL4,RGS16,AC091646.1,LINC02542,IL1RAP,AC083837.1,MUSK,AOX1,SH3RF1,SSPN
90,LINC00907,RTTN,CDKN3,TNNT2,PCDH19,NOL4,ITPR2,HTR3A,COLEC10,DUSP5,AMOTL2,AC104248.1,CASP3,AP001062.1
91,ADCY2,FBXO5,GTSE1,MAGI2,CEMIP2,GALNT13,CLIC5,RGS7,TNFRSF11B,KANK1,LTBP1,TENT5A,GUCY1A1,NEUROD4
92,MIR217HG,NUSAP1,LINC01572,TRIM38,ABHD5,AC006058.1,GCLC,CEBPG,ANK3,FRAS1,SUSD4,MAFA,MFAP3L,VIL1
93,EBF1,ANLN,NLGN1,PSD3,SSBP2,LINC02336,TMCC3,AC138627.1,TNFRSF21,SLC4A4,TFAP2A,PTH2R,ACSL1,AC130650.1
94,CACNB2,MCM4,PBK,UNC13B,BRD2,NRCAM,PTPRN,SLC38A1,ADAM9,MIR3142HG,SLITRK6,AP000829.1,NEIL3,KIAA1549L
95,HOXB3,CENPO,CEP55,CYBA,SIPA1L2,STAC,RAPGEF4,CREB3L1,ACOXL,MYH9,GDF15,AC009522.1,TRAPPC11,HNF1A-AS1
96,AUTS2,PDE1A,NUSAP1,ERMP1,BCL2L11,HS3ST5,RNF152,AC138305.1,NUDT4,PDE3A,MYH9,SCG5,HMGB2,TRPM3
97,AC060765.2,MCM10,SPDL1,UBAP2,TIPARP,NETO1,BDKRB2,CDH17,IL1RAPL2,FHAD1,KRT18,SGO1-AS1,SLC7A11,SLC45A2
98,FOXN3,ITGB3BP,MIS18BP1,HGD,SKIL,MAGED1,CPE,ARFGEF3,ZNF704,SHANK2,CDKN2A,MYLK2,TENM3,PDE10A
99,SLC7A2,TUBGCP3,NDE1,EVC2,EXT1,CACNA2D1,SOAT1,AC092944.1,KLF5,CLDN4,ARHGAP29,AC079779.2,FAM218A,SLC12A8
